NA,NA,NA,-4e-01+6.2e-14i,-2e-01-3.1e-14i,2e-01+1.3e-14i,0-6.96504968571543e-15i,0+3.05932132118034e-14i,-4e-01-2.71e-13i,0+1.75420635799643e-15i,0-8.58170771836054e-15i,0+1.28043671854903e-15i,0+1.44741182194844e-15i,-2e-01+2.3e-14i,0+2.86537005204364e-14i,2e-01-9e-15i,-2e-01+9e-15i,0+1.36442554754876e-14i,4e-01+2.9e-14i,-4e-01+7e-15i,4e-01-2.9e-14i,-2e-01+2.8e-14i,2e-01-2.4e-14i,-4e-01+5e-15i,2e-01-1e-15i,-2e-01-4.2e-14i,-4e-01-9e-15i,2e-01+6e-15i,0+1.17267608754699e-14i,0-1.72445383266164e-15i,0+2.13088133780038e-15i,-2e-01-8e-15i,NA,NA,NA
NA,NA,NA,-0.222005976213451+0.286470827884326i,-0.170414567805074-0.196557758879782i,0.164846843756015+0.008408932921167i,-0.0445163237892606-0.0195246510247175i,0.083701663365164+0.109925031813482i,-0.229521672115127-0.056377082567918i,0.0499252004566564-0.0808721560041855i,0.0425976186803198-0.0494789673774434i,-0.0117716780426313+0.0747738964380431i,-0.004139870225267-0.0943555808371564i,0.012051271893546+0.134070944075005i,-0.0795030650009169-0.0310363039337907i,0.18859701048161-0.005855053322733i,-0.137662789206418+0.141152187962557i,-0.02110787217114-0.229658427602143i,0.285767619282031+0.226096881776519i,-0.399282612780028-0.075986648524047i,0.402243479744801-0.012609342293844i,-0.266232232008318+0.037638431911279i,0.284037543338462-0.0116600306935i,-0.353934321296075+0.095284329243644i,0.233216760437099-0.21030440177965i,-0.016420642240893+0.296444087304315i,-0.334929771362541-0.181855140470351i,0.245012876578404-0.101649372896364i,-0.050652316732692+0.127410158159688i,-0.0072668232925336-0.0271894319055829i,0.0104094137736667+0.0206908012150675i,-0.0337213509375709-0.0136025308459716i,NA,NA,NA
NA,NA,NA,-0.099848551478215+0.354123594378593i,-0.146868055198404-0.222032703761674i,0.131241719532973+0.058296626290202i,-0.0740367079464272-0.069312724163824i,0.133593485024924+0.101518379631386i,-0.130819393085627-0.038723618847986i,-0.014046438013257-0.0197030742676972i,0.0665745713527307-0.0639272108879179i,-0.036308299496786+0.133250774655104i,-0.020686119196716-0.178401205372033i,0.118336225073192+0.224020023644123i,-0.229521939622161-0.048127593093322i,0.205738219719242-0.021302230094411i,-0.132450727722638+0.16084036866387i,-0.041318879508839-0.307014633967974i,0.27149429473118+0.288796726887959i,-0.40432583179093-0.118271797248685i,0.411464793600785+0.008506257088035i,-0.357551763524584+0.011863113949715i,0.328332219556675-0.090008430457015i,-0.302639160586493+0.188014064762024i,0.181955010551173-0.285465716570929i,0.046222281552423+0.336644321602526i,-0.321453377094046-0.203650077720801i,0.272641184883333-0.0691953109479i,-0.110934015331534+0.104184646281059i,0.0207893792636348-0.0467262134914451i,0.0199445374107375+0.0277654853596654i,0.0197476929259434-0.0662847948618079i,NA,NA,NA
NA,NA,NA,-0.005019292313779+0.335765881985408i,-0.112275751679448-0.211756372740628i,0.104815758890939+0.096522916737424i,-0.079637179556892-0.107566364438286i,0.150380527015476+0.087308947256706i,-0.083322861973257+0.150208698514864i,-0.0847229830975993-0.0107589982709449i,0.111570725158172-0.08865872624652i,-0.065025191495088+0.180196615110069i,-0.044702719558029-0.236790033498297i,0.197051192089316+0.253138628607434i,-0.283085149619115-0.124747564439609i,0.240830387698833+0.015269856860904i,-0.157012160486506+0.127512993089976i,-0.044794508525448-0.348611773458102i,0.276020773524584+0.316542278138692i,-0.412850430106178-0.116639887506051i,0.451013284583874+0.015218835503258i,-0.429212889549652-0.012924746238235i,0.354276369788903-0.133890406443794i,-0.275187002706471+0.249348768241834i,0.135380287207081-0.316469038613754i,0.092440305806555+0.33138211635833i,-0.303483687996884-0.213905678306233i,0.295057216015192-0.010225054377638i,-0.172955444493456+0.073498561103724i,0.0727786881158454-0.0316572806019995i,-0.0811367887571631-0.0412796149807272i,0.086229222479742-0.125340089917697i,NA,NA,NA
NA,NA,NA,0.072002563949057+0.221204314719286i,-0.093121538355646-0.12009953201294i,0.072167740819703+0.121325209972685i,-0.065827767973703-0.135960641153261i,0.150852326728971+0.081590945271349i,-0.053119335301094+0.126095595858352i,-0.139527778269471-0.031770845850964i,0.174212965520943-0.104105242875806i,-0.103790821118416+0.216043523121012i,-0.045806513742228-0.249547318052123i,0.195276182657673+0.287026601315456i,-0.275858151847299-0.208004083701036i,0.263384170476548+0.104176173940593i,-0.252761263974435+0.049447079370278i,0.005065924447971-0.415788860417092i,0.282702669526323+0.333030660680071i,-0.402481547160426-0.075671873501944i,0.281326315173376-0.043238312326747i,-0.444770358178044+0.017712636253587i,0.379435506823453-0.182886029203809i,-0.25718746191947+0.278787233140749i,0.117597200126928-0.314478035256838i,0.110200898651186+0.247390131030956i,-0.268558479446345-0.228404063790426i,0.303819016431782+0.033693479590661i,-0.241050181788676+0.06045691619121i,0.144329112208854-0.026174753378665i,-0.142441924578131+0.018150095955701i,0.117717966835855-0.123033337664626i,NA,NA,NA
NA,NA,NA,NA,-0.136135873094553-0.06757171028978i,-0.04745698358407+0.100157801864281i,-0.031232400880359-0.144694470287516i,0.143096091547535+0.113623233157916i,-0.0422296151501784+0.0917953576821873i,-0.176778640143734-0.058338957356175i,0.252903427098502-0.097000227507972i,-0.158311085575157+0.248001233654693i,0.031477421189295-0.300749015622389i,0.078820296145453+0.215416227288636i,-0.087104917668427-0.247940699112617i,0.252992736261507+0.213807432520809i,-0.360093276718406-0.008185039279478i,0.082128090775216-0.444728406781746i,0.286006672225516+0.346249879328129i,-0.380602736007443-0.030555088153233i,0.183318981293996-0.115074186825959i,-0.327874726203999-0.038764538230995i,0.426818652657919-0.106976656313535i,-0.240722004995403+0.26615726388978i,0.120109126931971-0.350759521355367i,-0.008736944085329+0.193460239817427i,-0.198778717163561-0.201196454222025i,0.292644625599587+0.054865122878842i,-0.279792023307494+0.098032979731291i,0.170576233217558-0.008222156772618i,-0.107800825853208-0.005976026965147i,NA,NA,NA,NA
NA,NA,NA,NA,-0.0947779969094173-0.0144338696562613i,-0.0476610274998944-0.0300537194825624i,0.020200685085559-0.110350036468478i,0.189178001831205+0.272904222063751i,-0.0791712207729249+0.0624805285771312i,-0.186528861256308-0.284648943147628i,0.318916890557846-0.046858864176246i,-0.202995698838438+0.280632098696698i,-0.055062969441411-0.368524150147645i,0.154998167365044+0.171003743196285i,-0.063710994863668-0.181431855659456i,0.210015740149263+0.310609785198802i,-0.462186862318462-0.035266302737473i,0.171241822316517-0.461489897157872i,0.288005352692072+0.352151759358354i,-0.373550256116026+0.006250278198675i,0.132356204122435-0.131154642843157i,-0.177497476837766-0.030758214375593i,0.336137934056533+0.098879352752594i,-0.24632442574145+0.189181733959106i,0.034906506621308-0.178380392175549i,0.029195404602076+0.18127042516829i,-0.159406342315069-0.132431300370207i,0.189450474005388-0.022588145379455i,-0.244233944611661+0.008361219890343i,-0.04376328271805+0.0022624447467191i,-0.0418501076334108-0.0685379413354085i,NA,NA,NA,NA
NA,NA,NA,NA,-0.0676214746719865+0.0130689395994669i,-0.0445497672655422-0.0387818969453511i,0.051676700386818-0.114205375214148i,0.234765735306918+0.173401105041145i,-0.194579017413841+0.226746741638407i,-0.076230084799677-0.291925109907642i,0.29036366308228-0.016056819896456i,-0.220868621720491+0.265369521569242i,-0.119512930062947-0.328569064753487i,0.277713991319542+0.152223895001577i,-0.0717711682006225+0.0686522662670488i,0.028955503538424+0.380484819031399i,-0.427852226515163-0.074848581897848i,0.197633413196255-0.396648640577901i,0.282897465939973+0.332101548676239i,-0.380093804840903+0.017231073947258i,0.101159248463557-0.196383563535796i,0.114190095494782-0.009933428504703i,0.183016162747975+0.190911663434054i,-0.295435452390802+0.085225038275765i,0.0962756633447-0.181187327132214i,0.031129352951097+0.170717930721327i,-0.132748250805205-0.109705801571942i,0.171859153050686+0.085322028542428i,-0.267163241238269+0.162177743071883i,-0.054593784940632-0.109387514024823i,0.0047071480067053-0.0898536927437364i,NA,NA,NA,NA
NA,NA,NA,NA,-0.0603059117166667+0.0183515482910239i,-0.0417660947379138-0.0478589115243903i,0.0403895335100614-0.0912084558788442i,0.22059803733369+0.173243321944353i,-0.213629308551853+0.145161040602505i,-0.021916060602421-0.148918159321609i,0.172003161939548-0.056719356511704i,-0.128632258731346+0.14489754291395i,-0.142572624975099-0.171655874155051i,0.197381989666523+0.014917311862695i,0.045787296784591+0.197149680744483i,-0.094370083175378+0.300254082006351i,-0.353478395710954-0.104371737303439i,0.179316291137129-0.305739003161922i,0.20572336858303+0.258129609868639i,-0.318978303012884-0.057361239818446i,0.082606720183133-0.200078560529068i,0.127023473604154+0.003252079322806i,0.118073242396504+0.15573938203229i,-0.331020502828327-0.033300582125013i,0.156953480840969-0.154536940359623i,0.023755712645552+0.167779869698141i,-0.143180169730275-0.108064063787428i,0.263043170019845+0.019884159829701i,-0.266015176154542+0.26883606118621i,-0.034208084548033-0.101291402627922i,0.0496652669617346-0.0031173625450848i,NA,NA,NA,NA
NA,NA,NA,NA,-0.0622678925057002+0.0209931074645914i,-0.0406191037049611-0.0733550570302791i,0.120189686577382-0.040018182559753i,0.125959470608934+0.243178065910111i,-0.256185798709918+0.105783831360397i,-0.145585964878785-0.234848796986474i,0.144506634779787-0.074863664348204i,-0.027818385206263+0.146137982749655i,-0.150113732637181-0.085175355752648i,0.123303004741333-0.146166481207823i,0.258489251803523+0.118640855925902i,0.074417768987833+0.303385040856792i,-0.191093435338543+0.054338352065799i,0.080622680533521-0.204943891957869i,0.057447424217112+0.250792946672643i,-0.222492414247113-0.055873656926478i,0.079627159968272-0.165938795711367i,0.110323234602051+0.034973245548757i,0.001987322092365+0.107598678072625i,-0.182392385296518-0.004802648742837i,0.142671395381085-0.059858176599947i,0.015050020704883+0.136437073502265i,-0.138879252132974-0.048900327229596i,0.217595258680141+0.013147004349314i,-0.063976117169032+0.110467123574355i,-0.0274914263859818-0.0836608047778381i,0.0702194283085049+0.003438439145648i,NA,NA,NA,NA
NA,NA,NA,NA,-0.0677294893594927+0.0318791851901963i,-0.057883143431248-0.102343042333435i,0.16037497770226-0.066963178490325i,0.089896925565153+0.218996596042136i,-0.239242923176148+0.101511832343749i,-0.102856054644517-0.220844680237131i,0.183763634110217-0.066684799108358i,0.008208561434041+0.173968203734326i,-0.181024609127523-0.035451676442287i,0.05523644920762-0.202865872941526i,0.242564719959086+0.029222292447936i,0.021559221634737+0.237179909779907i,-0.17533088514358+0.005525046433856i,0.0754023260527304-0.0845659679919526i,0.005866420520407+0.184519328192824i,-0.190953345281685-0.055994426879478i,0.081739886046944-0.133478933819005i,0.0825938915203067+0.0500716253175385i,-0.015748884212099+0.0676452398826288i,-0.0520405960436042-0.0109217161167529i,0.0504014287712756-0.0234129174300511i,0.0126818057831577+0.0654136775175i,-0.0480131543045204+0.0035451245819966i,0.0220556107133466+0.0306660441383555i,-0.0647198326483306+0.0443285445221468i,-0.0197169588378989-0.070685920230998i,0.0649459859942153+0.001497592244152i,NA,NA,NA,NA
NA,NA,NA,NA,NA,-0.082172401508871-0.128395408350205i,0.169791273006503-0.082428660999511i,0.084010341005232+0.20068677551661i,-0.213826556514526+0.08357690312327i,-0.074081203151782-0.20923480009383i,0.1975521405118-0.050914064591419i,0.020102531590459+0.192190109161298i,-0.196129658753375-0.005455387749976i,0.01752574958219-0.20619379579444i,0.213018688667738+0.014958610264987i,-0.014021732165462+0.199874368400545i,-0.160842893122806-0.039923432128531i,0.098706839410679-0.104440642124795i,0.044192587332899+0.165473780012675i,-0.18820581123847-0.034406417445568i,0.08044239133238-0.09358247649951i,0.0450720853436729+0.0324308389137711i,-0.0019603311228379+0.0369185630918638i,-0.0292579761704993+0.0078195602760362i,-0.0039405608317739-0.0187961996558698i,0.0116776208020938-0.0035562276086852i,0.0185253427095964+0.0059549869838864i,0.0034499027168795+0.0463322175350389i,-0.0664116825271141+0.0103390090337399i,-0.0048162398119322-0.0713745335631178i,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-0.088273852846271-0.168793106923406i,0.181862394437739-0.079396390358471i,0.072444061145257+0.193420429973038i,-0.199775309679493+0.064870112679407i,-0.053984365073293-0.200164520291284i,0.197406431217908-0.039058465228792i,0.022403046379253+0.195233940856013i,-0.195031845755123+0.007851028639491i,0.002625543240832-0.194962927487756i,0.19063701430059+0.01156057530013i,-0.026460164538758+0.177403515604912i,-0.154325100380827-0.054962759967818i,0.096908169873707-0.12604508620713i,0.100516899991342+0.141073856313161i,-0.164879136477614+0.093471242779447i,-0.0515735424224103-0.023170715000188i,0.0256827302929002-0.0331722417661663i,0.0398059979496641+0.0272260501062275i,-0.0233976422421955+0.0466340139435263i,-0.0520197861361326-0.0168680641141985i,0.0108112993179555-0.058551390400004i,0.0682562057188546+0.0061637342361008i,-0.0026898028676114+0.0790442322458045i,-0.0856746319890444-0.0017769386938853i,0.0051769848460225-0.0847623929161554i,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-0.058437354470271-0.198412007700247i,0.190810087021451-0.057726218644656i,0.052615929069615+0.189688857692548i,-0.190539444934422+0.045357441905871i,-0.036745358908612-0.190932501450724i,0.190079820242502-0.027545524689332i,0.018589639640422+0.188015448791631i,-0.184640504868611+0.010282557183832i,-0.001811358280185-0.179252813688516i,0.170818560666471+0.009273548947979i,-0.026225008592505+0.158830195509307i,-0.144223331918977-0.050588194682752i,0.078933570754352-0.129730555643032i,0.119388840544726+0.100680232292292i,-0.09855928752782+0.114309476386422i,-0.10212763669634-0.070970725437507i,0.0509914081663744-0.0879932775815086i,0.085639228867438+0.0396596388728593i,-0.0292142923205446+0.0911347910012458i,-0.0997649703419125-0.0191202679161742i,0.010894083973742-0.108767828438418i,0.116181679479428+0.005504717628589i,-0.003091096488026+0.120073750387251i,-0.118750738158088-0.003540020969322i,0.006600072114666-0.111537844938973i,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,-0.022812680160493-0.195291328185709i,0.185286755046244-0.029104642056707i,0.028665293305717+0.180630993840205i,-0.179630357413837+0.024456518354573i,-0.019058740321354-0.179713753792889i,0.178845178114926-0.014262132087087i,0.010553940245552+0.175812099162678i,-0.169995706647929+0.00713393498335i,-0.00220426587986-0.161254839992455i,0.150010566084159+0.006584211745735i,-0.021282565162065+0.137340274039477i,-0.124838169529073-0.042271583979415i,0.066681738675218-0.11421176166183i,0.106955874764027+0.087749501657969i,-0.097613127412931+0.103909597536946i,-0.104659404022064-0.093634297052904i,0.079939720444601-0.109276597898081i,0.118835928477385+0.061538291803782i,-0.041977989286674+0.132621290263825i,-0.147773314500713-0.024160043014136i,0.010209807517262-0.160836951321794i,0.168798373680305+0.001069381285183i,0.003502869829319+0.169737393788331i,-0.163148104649536+0.004383191650274i,-0.002625923037906-0.149828365323843i,NA,NA,NA,NA,NA
